full_name,position,nationality,goals_overall
Eric Bertrand Bailly,Defender,Ivory Coast,0
Erik Durm,Defender,Germany,0
Faustino Marcos Alberto Rojo,Defender,Argentina,0
Federico Fernández,Defender,Argentina,0
Florent Hadergjonaj,Defender,Switzerland,0
Florian Lejeune,Defender,France,0
Gaëtan Bong Songo,Defender,Cameroon,0
Gary Cahill,Defender,England,0
Greg Cunningham,Defender,Republic of Ireland,0
Hector Bellerin,Defender,Spain,0
Jack Simpson,Defender,England,0
Jaïro Riedewald,Defender,Netherlands,0
Jamal Lascelles,Defender,England,0
James Garner,Defender,England,0
Jamie Sterry,Defender,England,0
Jan Bednarek,Defender,Poland,0
Jannik Vestergaard,Defender,Denmark,0
Javier Manquillo Gaitán,Defender,Spain,0
Jazz Richards,Defender,Wales,0
Joe Bennett,Defender,England,0
Joe Bryan,Defender,England,0
Joe Gomez,Defender,England,0
John Stones,Defender,England,0
Jonjoe Kenny,Defender,England,0
José Diogo Dalot Teixeira,Defender,Portugal,0
Josh Knight,Defender,England,0
Kevin Long,Defender,Republic of Ireland,0
Konstantinos Mavropanos,Defender,Greece,0
Kortney Hause,Defender,England,0
Kyle Walker-Peters,Defender,England,0
Lee Peltier,Defender,England,0
Leighton Baines,Defender,England,0
Lewis Cass,Defender,England,0
Mamadou Sakho,Defender,France,0
Marc Guehi,Defender,England,0
Marc Navarro Ceciliano,Defender,Spain,0
Markus Suttner,Defender,Austria,0
Martin Kelly,Defender,England,0
Martín Montoya,Defender,Spain,0
Mason Holgate,Defender,England,0
Matteo Darmian,Defender,Italy,0
Matthew Connolly,Defender,England,0
Matthew Lowton,Defender,England,0
Max Kilman,Defender,England,0
Maxime Le Marchand,Defender,France,0
Maya Yoshida,Defender,Japan,0
Miguel Ángel Britos Cabrera,Defender,Uruguay,0
Nathaniel Clyne,Defender,England,0
Nicolas Otamendi,Defender,Argentina,0
Nikola Tavares,Defender,England,0
Pablo Zabaleta,Defender,Argentina,0
Pape N'Diaye Souaré,Defender,Senegal,0
Paul Dummett,Defender,Wales,0
Phil Bardsley,Defender,Scotland,0
Phil Jones,Defender,England,0
Philippe Sandler,Defender,Netherlands,0
Rob Holding,Defender,England,0
Rúben Gonçalo Silva Nascimento Vinagre,Defender,Portugal,0
Sam Woods,Defender,England,0
Scott Dann,Defender,England,0
Sead Kolašinac,Defender,Bosnia and Herzegovina,0
Sebastian Prödl,Defender,Austria,0
Serge Aurier,Defender,Ivory Coast,0
Simon Francis,Defender,England,0
Stephan Lichtsteiner,Defender,Switzerland,0
Stephen Ward,Defender,Republic of Ireland,0
Tim Ream,Defender,USA,0
Timothy Eyoma,Defender,England,0
Timothy Fosu-Mensah,Defender,Netherlands,0
Toby Alderweireld,Defender,Belgium,0
Tom Smith,Defender,England,0
Tyias Browning,Defender,England,0
Tyreke Johnson,Defender,England,0
Tyrone Mings,Defender,England,0
Wesley Hoedt,Defender,Netherlands,0
Zechariah Medley,Defender,England,0
Zeze Steven Sessegnon,Defender,England,0
Aaron Wan-Bissaka,Midfielder,England,0
Abdelhamid Sabiri,Midfielder,Morocco,0
Adam David Lallana,Midfielder,England,0
Adrien Sebastian Perruchet Silva,Midfielder,Portugal,0
Alex Oxlade-Chamberlain,Midfielder,England,0
André-Frank Zambo Anguissa,Midfielder,Cameroon,0
Andrew Surman,Midfielder,England,0
Angel Gomes,Midfielder,England,0
Bakary Sako,Midfielder,Mali,0
Callum Hudson-Odoi,Midfielder,England,0
Callum Slattery,Midfielder,England,0
Carlos Sánchez,Midfielder,Colombia,0
Cesc Fabregas,Midfielder,Spain,0
Cheikhou Kouyaté,Midfielder,Senegal,0
Conor Coady,Midfielder,England,0
Conor Coventry,Midfielder,Republic of Ireland,0
Curtis Jones,Midfielder,England,0
Daniel Amartey,Midfielder,Ghana,0
Daniel Williams,Midfielder,USA,0
Danny Drinkwater,Midfielder,England,0
Denis Suárez,Midfielder,Spain,0
Emerson Hyndman,Midfielder,USA,0
Emile Smith Rowe,Midfielder,England,0
Ethan Ampadu,Midfielder,Wales,0
Fabian Delph,Midfielder,England,0
Fousseni Diabaté,Midfielder,Mali,0
George Marsh,Midfielder,England,0
Grady Diangana,Midfielder,England,0
Hamza Choudhury,Midfielder,England,0
Harry Arter,Midfielder,Republic of Ireland,0
Håvard Nordtveit,Midfielder,Norway,0
Ibrahima Cissé,Midfielder,Belgium,0
Idrissa Gana Gueye,Midfielder,Senegal,0
Jack Wilshere,Midfielder,England,0
Jacob Murphy,Midfielder,England,0
James McCarthy,Midfielder,Republic of Ireland,0
Jason Puncheon,Midfielder,England,0
Jayson Molumby,Midfielder,Republic of Ireland,0
Joe Ralls,Midfielder,England,0
Jonathan Hogg,Midfielder,England,0
Joseph Willock,Midfielder,England,0
Josh Benson,Midfielder,England,0
Joshua Sims,Midfielder,England,0
Kayne Ramsey,Midfielder,England,0
Kelland Watts,Midfielder,England,0
Kevin McDonald,Midfielder,Scotland,0
Kieran Dowell,Midfielder,England,0
Kyle Taylor,Midfielder,England,0
Lazar Marković,Midfielder,Serbia,0
Leandro Bacuna,Midfielder,Curaçao,0
Lewis Cook,Midfielder,England,0
Loïc Damour,Midfielder,France,0
Luca de la Torre,Midfielder,USA,0
Luke Amos,Midfielder,England,0
Luke Dreher,Midfielder,England,0
Marc Pugh,Midfielder,England,0
Marouane Fellaini,Midfielder,Belgium,0
Mason Greenwood,Midfielder,England,0
Mateo Kovačić,Midfielder,Croatia,0
Matt Butcher,Midfielder,England,0
Mattéo Guendouzi Olié,Midfielder,France,0
Matty Daly,Midfielder,England,0
Max Harrison Sanders,Midfielder,England,0
Miguel Ángel Almirón Rejala,Midfielder,Paraguay,0
Mohamed Diamé,Midfielder,Senegal,0
Mohamed Elneny,Midfielder,Egypt,0
Mohamed Elyounoussi,Midfielder,Norway,0
Morgan Gibbs-White,Midfielder,England,0
Morgan Schneiderlin,Midfielder,France,0
Moussa Dembele,Midfielder,Belgium,0
Moussa Sissoko,Midfielder,France,0
Nampalys Mendy,Midfielder,France,0
Nathan Holland,Midfielder,England,0
Nathaniel Chalobah,Midfielder,England,0
Neeskens Kebano,Midfielder,Congo DR,0
Nnamdi Ofoborh,Midfielder,England,0
Oleksandr Zinchenko,Midfielder,Ukraine,0
Oliver Skipp,Midfielder,England,0
Pedro Obiang,Midfielder,Equatorial Guinea,0
Rafael Euclides Soares Camacho,Midfielder,Portugal,0
Rajiv van La Parra,Midfielder,Netherlands,0
Robbie Brady,Midfielder,Republic of Ireland,0
Ryan Giles,Midfielder,England,0
Samir Nasri,Midfielder,France,0
Stefan Marius Johansen,Midfielder,Norway,0
Steven Davis,Midfielder,Northern Ireland,0
Steven Defour,Midfielder,Belgium,0
Sullay Kaikai,Midfielder,England,0
Sung-Yeung Ki,Midfielder,South Korea,0
Tom Davies,Midfielder,England,0
Vicente Iborra De La Fuente,Midfielder,Spain,0
Victor Moses,Midfielder,Nigeria,0
Yves Bissouma,Midfielder,Mali,0
Aaron Rowe,Forward,England,0
Adalberto Peñaranda Maestre,Forward,Venezuela,0
Adama Diakhaby,Forward,France,0
Ademola Lookman,Forward,England,0
Alexander Sørloth,Forward,Norway,0
Alexandre Nascimento Costa Silva,Forward,Portugal,0
Alireza Jahanbakhsh,Forward,Iran,0
Andy Carroll,Forward,England,0
Benjamin Johnson,Forward,England,0
Bright Enobakhare,Forward,England,0
Callum Roberts,Forward,England,0
Collin Quaner,Forward,Germany,0
Connor Wickham,Forward,England,0
Dominic Solanke,Forward,England,0
Elias Kachunga,Forward,Congo DR,0
Gary Madine,Forward,England,0
Georges-Kevin N'Koudou Mbida,Forward,France,0
Jermain Defoe,Forward,England,0
Joe Powell,Forward,England,0
Jonathan Walters,Forward,Republic of Ireland,0
Jose Izquierdo,Forward,Colombia,0
Kazaiah Sterling,Forward,England,0
Laurent Depoitre,Forward,Belgium,0
Leonardo Bonatini Lohner Maia,Forward,Brazil,0
Oumar Niasse,Forward,Senegal,0
Peter Crouch,Forward,England,0
Ramadan Sobhi,Forward,Egypt,0
Rhys Healey,Forward,England,0
Sam Gallagher,Forward,England,0
Sam Surridge,Forward,England,0
Sandro Ramirez,Forward,Spain,0
Shinji Okazaki,Forward,Japan,0
Stefano Okaka,Forward,Italy,0
Tahith Chong,Forward,Netherlands,0
Viktor Gyökeres,Forward,Sweden,0
Vincent Janssen,Forward,Netherlands,0
full_name,position,nationality,goals_overall
